Street,City,District,State,SALE_YEAR,area,zoning,latitude,longitude,waterApplicable,waterDistance,roadApplicable,roadDistance,schoolApplicable,schoolDistance,railwayApplicable,railwayDistance,busApplicable,busDistance,price,past_prices
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,0.0124,Residential,9.924,78.135,applicable,2.34,applicable,1.24,applicable,3.3,notApplicable,0.0,applicable,1.28,66600.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2023,0.1573,Residential,9.9677,78.1653,applicable,2.33,applicable,4.74,notApplicable,0.0,applicable,2.88,applicable,2.84,729000.0,"[684300.0, 148600.0, 1293000.0, 2137000.0, 3727400.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2022,0.0996,Residential,11.0616,76.9366,applicable,4.41,applicable,5.35,applicable,2.91,notApplicable,0.0,applicable,3.95,481300.0,"[2199400.0, 364900.0, 65164200.0, 4100200.0, 409200.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2025,5.1408,Conservation,8.813,78.1341,applicable,5.97,notApplicable,0.0,applicable,5.08,applicable,0.87,applicable,5.44,3911800.0,"[533300.0, 731300.0, 29081400.0, 8490900.0, 1311400.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2021,0.2195,Commercial,10.9979,76.9994,applicable,2.5,applicable,1.03,notApplicable,0.0,applicable,5.42,notApplicable,0.0,2299500.0,"[0, 0, 0, 0, 0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2024,4.7798,Industrial,10.9979,76.9994,notApplicable,0.0,applicable,2.37,applicable,2.23,notApplicable,0.0,applicable,5.47,38257300.0,"[28982900.0, 2522000.0, 76780500.0, 1959500.0, 211100.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2021,4.8626,Industrial,9.921,78.1197,applicable,0.79,applicable,4.52,applicable,3.46,notApplicable,0.0,applicable,0.55,31766500.0,"[0, 0, 0, 0, 0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2023,1.6978,Conservation,11.0175,76.9725,applicable,3.03,applicable,4.63,applicable,0.41,applicable,4.72,applicable,4.43,1549800.0,"[364800.0, 101200.0, 5022900.0, 1292200.0, 319400.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2024,0.4,Residential,12.9834,80.259,applicable,0.44,notApplicable,0.0,applicable,1.96,applicable,5.73,applicable,1.33,3440900.0,"[42756000.0, 33292000.0, 2462400.0, 71681000.0, 571300.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2024,0.0866,Residential,9.924,78.135,applicable,5.51,applicable,1.16,notApplicable,0.0,notApplicable,0.0,applicable,4.1,485600.0,"[15115400.0, 26585100.0, 2592100.0, 2977200.0, 25018100.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2023,1.7759,Industrial,11.0175,76.9725,applicable,2.09,applicable,1.1,notApplicable,0.0,notApplicable,0.0,applicable,4.16,14743500.0,"[364800.0, 101200.0, 5022900.0, 1292200.0, 319400.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2025,1.7224,Commercial,8.7139,77.7567,applicable,5.72,applicable,1.94,applicable,5.21,notApplicable,0.0,applicable,0.82,12813400.0,"[1664700.0, 1252200.0, 112000.0, 32276700.0, 930400.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2022,0.6479,Residential,11.0183,76.997,applicable,3.81,applicable,5.7,applicable,4.04,applicable,4.69,applicable,5.57,2671300.0,"[1821200.0, 2196700.0, 12626700.0, 9188700.0, 926300.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,1.0007,Industrial,9.924,78.135,applicable,2.55,notApplicable,0.0,applicable,5.13,notApplicable,0.0,applicable,1.86,6481200.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2022,0.0937,Commercial,12.9791,80.2209,notApplicable,0.0,applicable,5.83,applicable,4.89,applicable,3.96,applicable,5.95,965900.0,"[4480300.0, 1136800.0, 2472800.0, 2723700.0, 2990600.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2022,1.5181,Agricultural,12.9791,80.2209,applicable,5.98,applicable,0.68,applicable,0.43,applicable,0.2,applicable,5.55,3810200.0,"[4480300.0, 1136800.0, 2472800.0, 2723700.0, 2990600.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,1.7553,Industrial,9.924,78.135,applicable,3.19,applicable,3.08,notApplicable,0.0,applicable,1.5,notApplicable,0.0,11149000.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,1.0381,Commercial,9.924,78.135,applicable,5.11,notApplicable,0.0,applicable,4.06,notApplicable,0.0,notApplicable,0.0,9666900.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2022,2.8861,Residential,11.349,77.6951,applicable,1.59,applicable,2.99,applicable,2.58,applicable,5.59,applicable,4.08,10162600.0,"[25944300.0, 428400.0, 482600.0, 3404100.0, 1184000.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2023,0.2234,Conservation,11.0616,76.9366,applicable,2.46,applicable,4.91,applicable,2.89,notApplicable,0.0,notApplicable,0.0,249000.0,"[318200.0, 14909900.0, 818600.0, 16183000.0, 10593000.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2024,1.95,Commercial,8.813,78.1341,notApplicable,0.0,applicable,1.15,notApplicable,0.0,applicable,1.65,notApplicable,0.0,18856200.0,"[1337100.0, 3044100.0, 9471400.0, 285400.0, 30435200.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2021,0.234,Residential,9.9677,78.1653,notApplicable,0.0,applicable,4.84,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,1479000.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,0.8026,Agricultural,10.4508,77.5148,applicable,2.72,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,5.71,1766000.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2025,0.0506,Conservation,11.349,77.6951,applicable,5.59,applicable,5.5,notApplicable,0.0,applicable,3.73,notApplicable,0.0,42000.0,"[211600.0, 1723100.0, 70300.0, 8785600.0, 5728200.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2022,0.2551,Conservation,9.9677,78.1653,applicable,1.49,applicable,4.96,applicable,1.59,applicable,0.21,applicable,0.48,269400.0,"[58948600.0, 17453400.0, 206400.0, 90500.0, 21717900.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2025,1.1251,Commercial,8.813,78.1341,notApplicable,0.0,applicable,3.4,applicable,4.72,notApplicable,0.0,applicable,5.16,8525700.0,"[533300.0, 731300.0, 29081400.0, 8490900.0, 1311400.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2023,0.5213,Conservation,9.924,78.135,applicable,1.7,notApplicable,0.0,applicable,4.01,applicable,4.1,notApplicable,0.0,509500.0,"[821700.0, 733500.0, 625700.0, 1934700.0, 540500.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,0.0606,Residential,9.924,78.135,applicable,0.58,applicable,4.67,applicable,4.6,notApplicable,0.0,notApplicable,0.0,336600.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,0.0573,Agricultural,12.9791,80.2209,applicable,1.22,applicable,4.88,notApplicable,0.0,applicable,3.36,applicable,1.65,133200.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,0.2697,Agricultural,9.4523,77.5533,applicable,4.8,notApplicable,0.0,notApplicable,0.0,applicable,2.71,notApplicable,0.0,350400.0,"[0, 0, 0, 0, 0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,0.0335,Industrial,8.813,78.1341,notApplicable,0.0,applicable,3.43,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,219400.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2022,0.136,Commercial,9.9677,78.1653,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,5.82,notApplicable,0.0,1479900.0,"[58948600.0, 17453400.0, 206400.0, 90500.0, 21717900.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2021,2.8146,Residential,12.9834,80.259,applicable,4.76,applicable,3.9,notApplicable,0.0,applicable,1.63,notApplicable,0.0,20979300.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,0.1692,Commercial,9.924,78.135,applicable,5.89,notApplicable,0.0,notApplicable,0.0,applicable,5.86,notApplicable,0.0,1538400.0,"[0, 0, 0, 0, 0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2023,0.067,Commercial,11.349,77.6951,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,0.75,722100.0,"[94500.0, 455300.0, 148700.0, 335400.0, 39400.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2021,1.7006,Commercial,9.9677,78.1653,applicable,4.33,applicable,5.62,notApplicable,0.0,notApplicable,0.0,applicable,5.25,13648000.0,"[0, 0, 0, 0, 0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2021,7.513,Commercial,8.7139,77.7567,applicable,5.68,applicable,0.22,notApplicable,0.0,applicable,5.37,applicable,0.45,57146800.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,0.047,Conservation,9.924,78.135,applicable,4.91,applicable,2.93,notApplicable,0.0,notApplicable,0.0,applicable,4.43,41300.0,"[0, 0, 0, 0, 0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2022,0.1519,Conservation,11.0616,76.9366,applicable,4.99,applicable,1.9,applicable,0.99,notApplicable,0.0,applicable,5.85,160200.0,"[2199400.0, 364900.0, 65164200.0, 4100200.0, 409200.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,4.5213,Commercial,9.4523,77.5533,applicable,3.54,applicable,4.92,applicable,3.57,notApplicable,0.0,applicable,5.81,25486600.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2022,0.4107,Agricultural,11.0616,76.9366,notApplicable,0.0,applicable,0.84,applicable,4.24,applicable,2.6,applicable,2.18,733500.0,"[2199400.0, 364900.0, 65164200.0, 4100200.0, 409200.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2023,6.0819,Agricultural,12.9791,80.2209,applicable,4.06,notApplicable,0.0,applicable,5.69,applicable,1.61,applicable,3.04,12474000.0,"[189200.0, 10473500.0, 47400.0, 76037300.0, 2009200.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2021,7.0021,Commercial,10.4508,77.5148,applicable,1.23,applicable,4.66,applicable,2.94,applicable,4.62,applicable,0.58,207236600.0,"[0, 0, 0, 0, 0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2022,0.2465,Industrial,11.0183,76.997,applicable,2.43,applicable,5.92,applicable,3.4,notApplicable,0.0,applicable,3.92,1496400.0,"[1821200.0, 2196700.0, 12626700.0, 9188700.0, 926300.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2025,1.793,Commercial,10.9979,76.9994,notApplicable,0.0,applicable,1.84,applicable,4.9,notApplicable,0.0,applicable,4.59,19799000.0,"[10468800.0, 6219300.0, 2222100.0, 21552800.0, 9695700.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2025,0.1219,Conservation,8.7139,77.7567,applicable,2.18,applicable,2.99,notApplicable,0.0,notApplicable,0.0,applicable,1.29,114800.0,"[1664700.0, 1252200.0, 112000.0, 32276700.0, 930400.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2023,0.7992,Industrial,11.0616,76.9366,applicable,2.15,applicable,2.93,applicable,1.6,applicable,2.13,applicable,1.52,5584400.0,"[318200.0, 14909900.0, 818600.0, 16183000.0, 10593000.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2021,2.2633,Agricultural,10.4508,77.5148,applicable,2.76,notApplicable,0.0,applicable,0.99,notApplicable,0.0,notApplicable,0.0,5014300.0,"[0, 0, 0, 0, 0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2021,1.3812,Commercial,11.0183,76.997,applicable,3.75,notApplicable,0.0,notApplicable,0.0,applicable,0.74,notApplicable,0.0,16167300.0,"[0, 0, 0, 0, 0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2022,0.0162,Conservation,9.4523,77.5533,notApplicable,0.0,applicable,0.78,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,17000.0,"[2984500.0, 135500.0, 22986900.0, 3420700.0, 364500.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2023,0.3937,Conservation,11.0183,76.997,applicable,1.2,applicable,1.11,notApplicable,0.0,applicable,4.48,applicable,4.45,436600.0,"[927400.0, 7279800.0, 9981500.0, 14718500.0, 119400.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2022,0.0513,Residential,11.0183,76.997,applicable,1.94,notApplicable,0.0,applicable,4.18,notApplicable,0.0,notApplicable,0.0,340400.0,"[1821200.0, 2196700.0, 12626700.0, 9188700.0, 926300.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2024,3.0506,Residential,12.9834,80.259,applicable,1.53,applicable,4.91,applicable,1.74,applicable,3.22,applicable,3.42,20250800.0,"[42756000.0, 33292000.0, 2462400.0, 71681000.0, 571300.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,0.2051,Conservation,9.4523,77.5533,notApplicable,0.0,applicable,1.71,notApplicable,0.0,notApplicable,0.0,applicable,1.44,201200.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,0.0668,Agricultural,8.813,78.1341,notApplicable,0.0,applicable,5.17,applicable,3.45,notApplicable,0.0,applicable,2.49,84900.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2021,0.0825,Residential,11.0616,76.9366,applicable,2.17,applicable,3.32,notApplicable,0.0,applicable,1.71,applicable,2.13,456600.0,"[0, 0, 0, 0, 0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,0.0787,Agricultural,12.9791,80.2209,applicable,4.48,applicable,2.07,applicable,1.15,notApplicable,0.0,applicable,1.8,201100.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2021,0.1192,Agricultural,10.4508,77.5148,applicable,4.19,applicable,2.99,notApplicable,0.0,notApplicable,0.0,applicable,4.87,205700.0,"[0, 0, 0, 0, 0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2021,1.4073,Commercial,8.7139,77.7567,applicable,1.89,applicable,1.12,notApplicable,0.0,notApplicable,0.0,applicable,3.37,10932600.0,"[0, 0, 0, 0, 0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2025,0.3219,Conservation,11.0175,76.9725,notApplicable,0.0,applicable,0.43,notApplicable,0.0,applicable,2.72,applicable,0.35,488600.0,"[3325300.0, 34099900.0, 2136000.0, 1981200.0, 777400.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2022,0.633,Commercial,10.4508,77.5148,applicable,1.76,applicable,1.52,applicable,2.07,applicable,4.04,applicable,2.32,20524200.0,"[1180700.0, 2830800.0, 291000.0, 488200.0, 50925300.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2025,3.2475,Agricultural,9.924,78.135,applicable,4.68,applicable,4.72,applicable,5.73,applicable,5.17,notApplicable,0.0,4603200.0,"[429900.0, 2455500.0, 261600.0, 10850700.0, 9447900.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,0.0475,Agricultural,12.9791,80.2209,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,5.78,notApplicable,0.0,131800.0,"[0, 0, 0, 0, 0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2024,0.2372,Industrial,8.7139,77.7567,applicable,4.24,applicable,3.79,applicable,1.91,applicable,1.19,applicable,3.51,1099400.0,"[64300.0, 1336400.0, 731500.0, 1127400.0, 21164800.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2024,0.1572,Commercial,11.0616,76.9366,applicable,4.71,applicable,0.68,applicable,5.27,applicable,4.97,applicable,1.89,1455100.0,"[1762300.0, 1592900.0, 400900.0, 1550000.0, 49100500.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2023,0.2808,Residential,9.924,78.135,applicable,1.9,applicable,5.76,notApplicable,0.0,applicable,5.49,applicable,0.33,1481800.0,"[821700.0, 733500.0, 625700.0, 1934700.0, 540500.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2024,0.1209,Commercial,9.924,78.135,notApplicable,0.0,applicable,1.24,applicable,5.9,notApplicable,0.0,applicable,2.12,1259400.0,"[15115400.0, 26585100.0, 2592100.0, 2977200.0, 25018100.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2021,0.9345,Conservation,11.349,77.6951,applicable,5.01,notApplicable,0.0,applicable,1.69,notApplicable,0.0,applicable,2.03,789600.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,4.7285,Residential,9.924,78.135,notApplicable,0.0,applicable,3.64,applicable,3.86,notApplicable,0.0,applicable,1.35,25198900.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,0.0155,Commercial,9.924,78.135,notApplicable,0.0,applicable,2.46,applicable,2.88,notApplicable,0.0,applicable,3.1,132900.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2021,0.0115,Conservation,8.7139,77.7567,applicable,3.24,applicable,0.28,applicable,4.19,notApplicable,0.0,notApplicable,0.0,9600.0,"[0, 0, 0, 0, 0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2023,7.7622,Industrial,11.0175,76.9725,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,2.21,applicable,5.34,63663200.0,"[364800.0, 101200.0, 5022900.0, 1292200.0, 319400.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,1.3625,Agricultural,9.4523,77.5533,applicable,4.59,applicable,2.56,applicable,1.19,notApplicable,0.0,applicable,4.39,1509700.0,"[0, 0, 0, 0, 0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2025,0.0307,Conservation,9.4523,77.5533,applicable,3.21,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,2.56,27500.0,"[657000.0, 1433100.0, 1492000.0, 32180200.0, 6552200.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2021,4.373,Commercial,9.921,78.1197,notApplicable,0.0,applicable,2.67,applicable,5.11,applicable,5.65,notApplicable,0.0,35776300.0,"[0, 0, 0, 0, 0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2025,0.1339,Agricultural,9.921,78.1197,applicable,5.73,applicable,4.65,applicable,1.67,notApplicable,0.0,applicable,2.18,207300.0,"[11982900.0, 1694300.0, 222800.0, 11382600.0, 329800.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2025,7.0846,Conservation,9.924,78.135,notApplicable,0.0,applicable,1.73,applicable,4.55,applicable,0.43,applicable,1.6,8281300.0,"[429900.0, 2455500.0, 261600.0, 10850700.0, 9447900.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,0.2699,Conservation,10.4508,77.5148,applicable,0.79,applicable,2.35,notApplicable,0.0,notApplicable,0.0,applicable,4.21,347600.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2025,1.5613,Agricultural,9.921,78.1197,applicable,4.88,notApplicable,0.0,notApplicable,0.0,applicable,2.54,applicable,3.67,2585500.0,"[11982900.0, 1694300.0, 222800.0, 11382600.0, 329800.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2025,3.7785,Industrial,11.0175,76.9725,applicable,3.89,applicable,3.5,applicable,1.05,notApplicable,0.0,applicable,3.48,26689500.0,"[3325300.0, 34099900.0, 2136000.0, 1981200.0, 777400.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2023,0.4273,Conservation,8.813,78.1341,applicable,4.7,notApplicable,0.0,notApplicable,0.0,applicable,2.69,notApplicable,0.0,375200.0,"[1276400.0, 7956300.0, 631000.0, 6768800.0, 2495300.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2025,0.108,Industrial,10.4508,77.5148,applicable,1.45,applicable,3.46,notApplicable,0.0,notApplicable,0.0,applicable,5.97,892800.0,"[67869300.0, 103542900.0, 44925200.0, 3078900.0, 472800.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,0.3608,Residential,9.4523,77.5533,applicable,0.22,applicable,2.2,applicable,2.56,notApplicable,0.0,applicable,4.05,1544000.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2025,6.7045,Conservation,11.0616,76.9366,applicable,4.74,applicable,2.42,notApplicable,0.0,applicable,2.39,applicable,2.56,6890700.0,"[10616900.0, 539500.0, 25797000.0, 914100.0, 30806700.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2021,0.4331,Residential,9.921,78.1197,notApplicable,0.0,notApplicable,0.0,applicable,0.9,applicable,5.09,notApplicable,0.0,2614300.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,0.0437,Conservation,9.924,78.135,notApplicable,0.0,notApplicable,0.0,applicable,4.07,notApplicable,0.0,applicable,3.18,44700.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,0.0263,Agricultural,9.924,78.135,applicable,0.48,notApplicable,0.0,applicable,0.58,notApplicable,0.0,notApplicable,0.0,57000.0,"[0, 0, 0, 0, 0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,3.9284,Commercial,9.4523,77.5533,applicable,2.77,applicable,2.58,notApplicable,0.0,applicable,1.03,applicable,4.43,24442700.0,"[0, 0, 0, 0, 0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2021,0.1354,Commercial,10.9979,76.9994,notApplicable,0.0,applicable,4.09,applicable,3.66,applicable,2.2,notApplicable,0.0,1292900.0,"[0, 0, 0, 0, 0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2024,0.1392,Industrial,12.9834,80.259,notApplicable,0.0,applicable,0.59,applicable,1.33,notApplicable,0.0,applicable,1.38,1743000.0,"[42756000.0, 33292000.0, 2462400.0, 71681000.0, 571300.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2023,0.1101,Commercial,12.9791,80.2209,applicable,5.46,notApplicable,0.0,applicable,4.13,applicable,0.66,notApplicable,0.0,1501800.0,"[189200.0, 10473500.0, 47400.0, 76037300.0, 2009200.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,0.2333,Agricultural,9.924,78.135,applicable,2.8,applicable,5.37,notApplicable,0.0,applicable,3.36,applicable,1.98,326100.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2025,0.0552,Residential,11.0616,76.9366,applicable,5.03,applicable,2.51,applicable,3.3,applicable,5.58,applicable,5.45,261200.0,"[10616900.0, 539500.0, 25797000.0, 914100.0, 30806700.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2022,5.8344,Conservation,11.349,77.6951,notApplicable,0.0,applicable,3.21,notApplicable,0.0,applicable,5.85,applicable,1.2,5029400.0,"[25944300.0, 428400.0, 482600.0, 3404100.0, 1184000.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2025,0.4153,Industrial,11.0616,76.9366,notApplicable,0.0,notApplicable,0.0,applicable,0.37,notApplicable,0.0,applicable,1.53,4463100.0,"[10616900.0, 539500.0, 25797000.0, 914100.0, 30806700.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2024,0.12,Agricultural,11.0616,76.9366,applicable,2.55,applicable,4.72,applicable,1.05,notApplicable,0.0,applicable,4.8,213200.0,"[1762300.0, 1592900.0, 400900.0, 1550000.0, 49100500.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2025,0.7564,Industrial,10.4508,77.5148,applicable,0.29,applicable,2.14,notApplicable,0.0,notApplicable,0.0,applicable,5.94,7340100.0,"[67869300.0, 103542900.0, 44925200.0, 3078900.0, 472800.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2024,0.4064,Commercial,11.0175,76.9725,applicable,3.65,applicable,0.43,applicable,3.63,applicable,4.68,applicable,1.76,3724200.0,"[749700.0, 35211300.0, 14300700.0, 151900.0, 7908700.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,0.1197,Conservation,9.4523,77.5533,notApplicable,0.0,applicable,5.08,notApplicable,0.0,notApplicable,0.0,applicable,2.71,101600.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2025,0.1457,Commercial,11.0616,76.9366,applicable,4.9,applicable,5.49,applicable,4.23,notApplicable,0.0,applicable,2.76,1293200.0,"[10616900.0, 539500.0, 25797000.0, 914100.0, 30806700.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2025,0.2867,Residential,12.9791,80.2209,applicable,0.57,applicable,3.84,applicable,5.85,notApplicable,0.0,notApplicable,0.0,2530600.0,"[812200.0, 9988300.0, 4656600.0, 1015900.0, 4699100.0]"
